TIME,AMPLITUDE
0.000000000000000e+00,2.161382e-28
2.500000029215244e-08,1.287087e-09
5.000000058430487e-08,-7.650700e-10
8.466742513864957e-08,-2.624967e-08
1.205159526276565e-07,-1.077234e-07
1.569556398306279e-07,-2.898610e-07
1.959575551375149e-07,-6.570382e-07
2.463522817049599e-07,-1.492647e-06
3.132780500182918e-07,-3.409399e-06
4.032077153947985e-07,-7.847784e-06
5.232824939062343e-07,-1.805821e-05
6.852772525944360e-07,-4.066838e-05
8.547743617795331e-07,-7.771337e-05
1.046410210051554e-06,-1.404789e-04
1.268863274788209e-06,-2.462827e-04
1.547572606203477e-06,-4.355167e-04
1.887457259491832e-06,-7.621127e-04
2.315099152362976e-06,-1.339121e-03
2.845547332905615e-06,-2.335380e-03
3.517809745515216e-06,-4.074999e-03
4.367156287810115e-06,-7.067535e-03
5.459565891355824e-06,-1.223722e-02
6.871851018760181e-06,-2.107467e-02
8.731206699257043e-06,-3.618667e-02
1.121074384756669e-05,-6.180535e-02
1.459287656507504e-05,-1.027858e-01
1.933045111658041e-05,-1.555414e-01
2.295017752070468e-05,-1.774306e-01
2.688438305740734e-05,-1.828939e-01
3.059731192508055e-05,-1.836905e-01
3.498489001332364e-05,-1.841633e-01
3.608178453538441e-05,-1.842062e-01
3.827557357950595e-05,-1.842708e-01
3.882402084053633e-05,-1.842487e-01
3.977229829359156e-05,-1.841654e-01
3.977926597087011e-05,-1.841645e-01
3.980713667998432e-05,-1.841604e-01
3.984429762546994e-05,-1.841535e-01
3.991861951644116e-05,-1.841363e-01
4.006726329838363e-05,-1.840906e-01
4.035788990406556e-05,-1.839779e-01
4.060519041984369e-05,-1.838644e-01
4.095480723762304e-05,-1.836867e-01
4.133890336050484e-05,-1.834825e-01
4.193783725209751e-05,-1.831585e-01
4.279499310485719e-05,-1.826948e-01
4.416139314092461e-05,-1.819631e-01
4.641049203838479e-05,-1.807841e-01
5.048487048539684e-05,-1.787028e-01
5.281766358648664e-05,-1.775464e-01
5.567504271020005e-05,-1.761714e-01
5.760426846513908e-05,-1.752665e-01
6.004825730585064e-05,-1.741566e-01
6.493623498727378e-05,-1.720464e-01
7.446850863282923e-05,-1.682219e-01
8.423413363282923e-05,-1.646652e-01
9.399975863282922e-05,-1.614986e-01
1.037653836328292e-04,-1.586976e-01
1.135310086328292e-04,-1.562366e-01
1.232966336328292e-04,-1.540919e-01
1.330622586328292e-04,-1.522412e-01
1.428278836328292e-04,-1.506634e-01
1.525935086328292e-04,-1.493390e-01
1.623591336328292e-04,-1.482496e-01
1.721247586328293e-04,-1.473781e-01
1.818903836328293e-04,-1.467083e-01
1.916560086328293e-04,-1.462251e-01
2.014216336328293e-04,-1.459144e-01
2.111872586328293e-04,-1.457630e-01
2.209528836328293e-04,-1.457586e-01
2.307185086328293e-04,-1.458896e-01
2.404841336328293e-04,-1.461452e-01
2.502497586328293e-04,-1.465152e-01
2.600153836328293e-04,-1.469893e-01
2.697810086328293e-04,-1.475362e-01
2.699335965234544e-04,-1.475454e-01
2.702387723047044e-04,-1.475642e-01
2.708491238672043e-04,-1.476005e-01
2.712974651693588e-04,-1.476229e-01
2.716647856449313e-04,-1.476277e-01
2.718516359951904e-04,-1.476022e-01
2.720473253113135e-04,-1.475337e-01
2.721323691864626e-04,-1.474947e-01
2.722212184052636e-04,-1.474565e-01
2.723134043862496e-04,-1.474241e-01
2.724802678993257e-04,-1.473773e-01
2.728139949254778e-04,-1.473048e-01
2.734716536173047e-04,-1.471892e-01
2.747869710009586e-04,-1.469726e-01
2.774176057682665e-04,-1.465056e-01
2.826788753028821e-04,-1.453866e-01
2.924445003028821e-04,-1.426575e-01
3.022101253028821e-04,-1.386016e-01
3.119757503028821e-04,-1.315271e-01
3.217413753028822e-04,-1.163525e-01
3.315070003028822e-04,-8.251020e-02
3.412726253028822e-04,-2.055650e-02
3.510382503028822e-04,6.629385e-02
3.608038753028822e-04,1.555420e-01
3.664657234194792e-04,1.853310e-01
3.735458238619956e-04,1.912452e-01
3.786419478621890e-04,1.885834e-01
3.849238009206653e-04,1.845879e-01
3.946894259206653e-04,1.780019e-01
4.044550509206653e-04,1.713346e-01
4.142206759206653e-04,1.647872e-01
