TIME,AMPLITUDE
0.000000000000000e+00,2.689651e-28
2.500000029215244e-08,6.532886e-10
5.000000058430487e-08,-3.862218e-10
8.465301739943741e-08,-1.330570e-08
1.204676407061323e-07,-5.459673e-08
1.568501798832275e-07,-1.468953e-07
1.958241382923885e-07,-3.331759e-07
2.460770507666651e-07,-7.564065e-07
3.127950058429495e-07,-1.727328e-06
4.022646705921239e-07,-3.972202e-06
5.215543064364779e-07,-9.132451e-06
6.820081904250195e-07,-2.053649e-05
8.495881382084106e-07,-3.924311e-05
1.040726983150282e-06,-7.130775e-05
1.259981710681114e-06,-1.249467e-04
1.535809230590021e-06,-2.217324e-04
1.869477912256364e-06,-3.884114e-04
2.289287848464314e-06,-6.850607e-04
2.806000085055421e-06,-1.198115e-03
3.458085873093358e-06,-2.100934e-03
4.273811436880531e-06,-3.662193e-03
5.312949915608385e-06,-6.384930e-03
6.636482806495851e-06,-1.108021e-02
8.349194817515670e-06,-1.920217e-02
1.058098881082158e-05,-3.312558e-02
1.354243779166176e-05,-5.550472e-02
1.755030223215004e-05,-8.405644e-02
2.057318958392955e-05,-9.638748e-02
2.385782669673780e-05,-1.006882e-01
2.699383448478141e-05,-1.029370e-01
2.745488633184133e-05,-1.032282e-01
2.837699002596117e-05,-1.037061e-01
2.860751594949112e-05,-1.038398e-01
2.906856779655104e-05,-1.041198e-01
2.918383075831602e-05,-1.041880e-01
2.941435668184598e-05,-1.043193e-01
2.970410138418071e-05,-1.044752e-01
2.989721540048469e-05,-1.045667e-01
3.011489199819827e-05,-1.046522e-01
3.028147732745999e-05,-1.047060e-01
3.048273139895033e-05,-1.047603e-01
3.071577484979681e-05,-1.048154e-01
3.105737632505138e-05,-1.048887e-01
3.152399239074508e-05,-1.049838e-01
3.221755161590898e-05,-1.051223e-01
3.332818796893223e-05,-1.053441e-01
3.539109934295714e-05,-1.057611e-01
3.951692209100696e-05,-1.066137e-01
4.611903707558239e-05,-1.080143e-01
5.064411850600841e-05,-1.089994e-01
5.348240995718109e-05,-1.096316e-01
5.660787550867945e-05,-1.103388e-01
5.860223740898072e-05,-1.107959e-01
6.141860658012230e-05,-1.114513e-01
6.705134492240545e-05,-1.127860e-01
7.362927491331329e-05,-1.143826e-01
8.339489991331328e-05,-1.168198e-01
9.316052491331328e-05,-1.193254e-01
1.029261499133133e-04,-1.218980e-01
1.126917749133133e-04,-1.245291e-01
1.224573999133133e-04,-1.272112e-01
1.322230249133133e-04,-1.299372e-01
1.419886499133133e-04,-1.327003e-01
1.517542749133133e-04,-1.354944e-01
1.615198999133133e-04,-1.383139e-01
1.712855249133133e-04,-1.411534e-01
1.810511499133133e-04,-1.440080e-01
1.908167749133133e-04,-1.468731e-01
2.005823999133133e-04,-1.497446e-01
2.103480249133133e-04,-1.526186e-01
2.201136499133134e-04,-1.554914e-01
2.298792749133134e-04,-1.583598e-01
2.396448999133134e-04,-1.612206e-01
2.494105249133134e-04,-1.640711e-01
2.591761499133134e-04,-1.669088e-01
2.689417749133134e-04,-1.697311e-01
2.787073999133134e-04,-1.725360e-01
2.884730249133134e-04,-1.753207e-01
2.982386499133134e-04,-1.780882e-01
2.983912378039384e-04,-1.781311e-01
2.986964135851884e-04,-1.782162e-01
2.990613436671472e-04,-1.783161e-01
2.993116161645669e-04,-1.783826e-01
2.993357154324118e-04,-1.783887e-01
2.993839139681016e-04,-1.783997e-01
2.994570934615630e-04,-1.784133e-01
2.995376477487963e-04,-1.784212e-01
2.996182136002449e-04,-1.784209e-01
2.996861990426573e-04,-1.784167e-01
2.997562746073048e-04,-1.784128e-01
2.998455812290916e-04,-1.784108e-01
2.999733415510085e-04,-1.784133e-01
3.002288621948425e-04,-1.784288e-01
3.007399034825103e-04,-1.784748e-01
3.017619860578461e-04,-1.785713e-01
3.038061512085177e-04,-1.787160e-01
3.078944815098608e-04,-1.787774e-01
3.152427623249560e-04,-1.780081e-01
3.250083873249560e-04,-1.737320e-01
3.347740123249560e-04,-1.602425e-01
3.431533220199166e-04,-1.320209e-01
3.522095538228958e-04,-8.008248e-02
3.601036966693704e-04,-2.567177e-02
3.643061999832509e-04,-4.551779e-03
3.695558612507961e-04,5.428701e-03
3.736464167459957e-04,7.760393e-03
3.781456997913807e-04,9.656237e-03
3.857182896209828e-04,1.268947e-02
3.954839146209828e-04,1.631806e-02
3.967046177459828e-04,1.674101e-02
3.991460239959828e-04,1.754711e-02
3.997563755584828e-04,1.775718e-02
4.009770786834828e-04,1.817890e-02
4.012822544647327e-04,1.828070e-02
4.018926060272327e-04,1.847186e-02
4.024282875092991e-04,1.862387e-02
4.028801537271167e-04,1.873812e-02
4.033258750287193e-04,1.884301e-02
4.037928802873044e-04,1.894997e-02
4.045239900877709e-04,1.911626e-02
4.055501257445939e-04,1.935058e-02
4.071296021967466e-04,1.971564e-02
4.096891312738530e-04,2.032026e-02
4.142160649206279e-04,2.143106e-02
4.232699322141775e-04,2.376823e-02
4.330355572141775e-04,2.643814e-02
4.428011822141775e-04,2.926737e-02
4.525668072141775e-04,3.224342e-02
4.623324322141775e-04,3.535141e-02
4.720980572141775e-04,3.857750e-02
4.818636822141775e-04,4.190878e-02
4.916293072141775e-04,4.533321e-02
5.013949322141775e-04,4.883960e-02
5.111605572141776e-04,5.241751e-02
5.209261822141776e-04,5.605724e-02
5.306918072141776e-04,5.974978e-02
5.404574322141776e-04,6.348674e-02
5.502230572141776e-04,6.726035e-02
5.599886822141776e-04,7.106340e-02
5.697543072141776e-04,7.488918e-02
5.795199322141776e-04,7.873148e-02
5.892855572141776e-04,8.258458e-02
5.990511822141776e-04,8.644316e-02
6.088168072141776e-04,9.030233e-02
6.185824322141777e-04,9.415754e-02
6.283480572141777e-04,9.800463e-02
6.381136822141777e-04,1.018398e-01
6.478793072141777e-04,1.056594e-01
6.576449322141777e-04,1.094603e-01
6.674105572141777e-04,1.132395e-01
6.771761822141777e-04,1.169943e-01
6.869418072141777e-04,1.207221e-01
6.967074322141777e-04,1.244208e-01
7.064730572141777e-04,1.280883e-01
7.162386822141777e-04,1.317227e-01
7.260043072141777e-04,1.353223e-01
7.357699322141778e-04,1.388857e-01
7.455355572141778e-04,1.424114e-01
7.553011822141778e-04,1.458983e-01
7.650668072141778e-04,1.493452e-01
7.748324322141778e-04,1.527513e-01
7.845980572141778e-04,1.561156e-01
7.943636822141778e-04,1.594376e-01
8.041293072141778e-04,1.627165e-01
8.138949322141778e-04,1.659518e-01
8.236605572141778e-04,1.691431e-01
8.334261822141778e-04,1.722901e-01
8.431918072141778e-04,1.753924e-01
8.529574322141779e-04,1.784499e-01
8.627230572141779e-04,1.814624e-01
8.724886822141779e-04,1.844298e-01
8.822543072141779e-04,1.873521e-01
8.920199322141779e-04,1.902293e-01
