TIME,AMPLITUDE
0.000000000000000e+00,0.000000e+00
8.000000093488779e-07,5.009212e-03
1.600000018697756e-06,9.991079e-03
3.200000037395512e-06,1.987004e-02
6.400000074791024e-06,3.931803e-02
1.128281257479102e-05,6.829840e-02
1.616562507479103e-05,9.636907e-02
2.104843757479103e-05,1.233743e-01
2.593125007479103e-05,1.492382e-01
3.081406257479102e-05,1.738885e-01
3.569687507479102e-05,1.972563e-01
4.057968757479102e-05,2.192771e-01
4.546250007479102e-05,2.398907e-01
5.034531257479102e-05,2.590411e-01
5.522812507479101e-05,2.766776e-01
6.011093757479101e-05,2.927542e-01
6.499375007479101e-05,3.072300e-01
6.987656257479101e-05,3.200698e-01
7.475937507479102e-05,3.312437e-01
7.964218757479102e-05,3.407276e-01
8.452500007479103e-05,3.485030e-01
8.940781257479103e-05,3.545574e-01
9.429062507479103e-05,3.588842e-01
9.917343757479104e-05,3.614827e-01
1.040562500747910e-04,3.623583e-01
1.089390625747910e-04,3.615223e-01
1.138218750747911e-04,3.589920e-01
1.187046875747911e-04,3.547906e-01
1.235875000747910e-04,3.489471e-01
1.284703125747911e-04,3.414963e-01
1.333531250747911e-04,3.324785e-01
1.382359375747911e-04,3.219397e-01
1.431187500747911e-04,3.099311e-01
1.480015625747911e-04,2.965089e-01
1.528843750747911e-04,2.817344e-01
1.577671875747911e-04,2.656738e-01
1.626500000747911e-04,2.483975e-01
1.675328125747911e-04,2.299802e-01
1.724156250747911e-04,2.105006e-01
1.772984375747911e-04,1.900412e-01
1.821812500747911e-04,1.686876e-01
1.870640625747911e-04,1.465288e-01
1.919468750747911e-04,1.236563e-01
1.968296875747911e-04,1.001640e-01
2.017125000747911e-04,7.614806e-02
2.065953125747911e-04,5.170619e-02
2.114781250747911e-04,2.693749e-02
2.163609375747911e-04,1.942027e-03
2.212437500747911e-04,-2.317949e-02
2.261265625747911e-04,-4.832611e-02
2.310093750747911e-04,-7.339704e-02
2.407750000747912e-04,-1.229114e-01
2.505406250747911e-04,-1.709327e-01
2.603062500747911e-04,-2.166967e-01
2.700718750747911e-04,-2.594761e-01
2.798375000747912e-04,-2.985910e-01
2.896031250747912e-04,-3.334194e-01
2.993687500747912e-04,-3.634062e-01
3.091343750747912e-04,-3.880712e-01
3.189000000747912e-04,-4.070165e-01
3.286656250747912e-04,-4.199322e-01
3.384312500747912e-04,-4.266008e-01
3.481968750747912e-04,-4.269007e-01
3.579625000747912e-04,-4.208075e-01
3.677281250747912e-04,-4.083945e-01
3.774937500747912e-04,-3.898318e-01
3.823765625747912e-04,-3.783230e-01
3.872593750747913e-04,-3.653827e-01
3.921421875747913e-04,-3.510580e-01
3.970250000747913e-04,-3.354009e-01
4.019078125747913e-04,-3.184690e-01
4.067906250747913e-04,-3.003242e-01
4.116734375747913e-04,-2.810335e-01
4.165562500747913e-04,-2.606679e-01
4.214390625747913e-04,-2.393029e-01
4.263218750747913e-04,-2.170176e-01
4.312046875747913e-04,-1.938946e-01
4.360875000747913e-04,-1.700196e-01
4.409703125747913e-04,-1.454816e-01
4.458531250747913e-04,-1.203717e-01
4.507359375747913e-04,-9.478335e-02
4.556187500747913e-04,-6.881200e-02
4.605015625747913e-04,-4.255441e-02
4.653843750747913e-04,-1.610852e-02
4.702671875747913e-04,1.042698e-02
4.751500000747913e-04,3.695301e-02
4.800328125747913e-04,6.337052e-02
4.849156250747913e-04,8.958079e-02
4.897984375747913e-04,1.154859e-01
4.946812500747913e-04,1.409889e-01
4.995640625747914e-04,1.659945e-01
5.044468750747914e-04,1.904091e-01
5.093296875747914e-04,2.141415e-01
5.142125000747914e-04,2.371028e-01
5.190953125747914e-04,2.592070e-01
5.239781250747914e-04,2.803715e-01
5.288609375747914e-04,3.005170e-01
5.337437500747914e-04,3.195681e-01
5.386265625747914e-04,3.374534e-01
5.435093750747914e-04,3.541061e-01
5.483921875747914e-04,3.694637e-01
5.532750000747914e-04,3.834687e-01
5.581578125747914e-04,3.960688e-01
5.630406250747914e-04,4.072168e-01
5.679234375747914e-04,4.168709e-01
5.728062500747914e-04,4.249950e-01
5.776890625747914e-04,4.315588e-01
5.825718750747914e-04,4.365377e-01
5.874546875747914e-04,4.399131e-01
5.923375000747914e-04,4.416726e-01
6.021031250747914e-04,4.403235e-01
6.118687500747915e-04,4.325117e-01
6.216343750747915e-04,4.183552e-01
6.314000000747915e-04,3.980672e-01
6.411656250747915e-04,3.719532e-01
6.509312500747915e-04,3.404059e-01
6.606968750747915e-04,3.038996e-01
6.704625000747915e-04,2.629830e-01
6.802281250747915e-04,2.182711e-01
6.899937500747915e-04,1.704357e-01
6.948765625747915e-04,1.455698e-01
7.046421875747915e-04,9.440856e-02
7.144078125747915e-04,4.198478e-02
7.241734375747916e-04,-1.091408e-02
7.290562500747916e-04,-3.729333e-02
7.339390625747916e-04,-6.349348e-02
7.437046875747916e-04,-1.149638e-01
7.534703125747916e-04,-1.645520e-01
7.632359375747916e-04,-2.115138e-01
7.730015625747916e-04,-2.551441e-01
7.827671875747916e-04,-2.947881e-01
7.925328125747916e-04,-3.298511e-01
8.022984375747916e-04,-3.598071e-01
8.120640625747916e-04,-3.842073e-01
8.218296875747916e-04,-4.026863e-01
8.315953125747916e-04,-4.149677e-01
8.413609375747917e-04,-4.208684e-01
8.511265625747917e-04,-4.203014e-01
8.608921875747917e-04,-4.132771e-01
8.657750000747917e-04,-4.073731e-01
8.706578125747917e-04,-3.999026e-01
8.755406250747917e-04,-3.908938e-01
8.804234375747917e-04,-3.803810e-01
8.853062500747917e-04,-3.684037e-01
8.901890625747917e-04,-3.550075e-01
8.950718750747917e-04,-3.402429e-01
9.048375000747917e-04,-3.068365e-01
9.146031250747917e-04,-2.686888e-01
9.243687500747917e-04,-2.263754e-01
9.341343750747917e-04,-1.805345e-01
9.439000000747917e-04,-1.318572e-01
9.487828125747918e-04,-1.066829e-01
9.585484375747918e-04,-5.513757e-02
9.634312500747918e-04,-2.896092e-02
9.683140625747918e-04,-2.646313e-03
9.780796875747918e-04,4.999960e-02
9.829625000747917e-04,7.613233e-02
9.927281250747915e-04,1.275248e-01
1.002493750074791e-03,1.771098e-01
1.012259375074791e-03,2.241398e-01
1.022025000074791e-03,2.679058e-01
1.031790625074791e-03,3.077478e-01
1.041556250074790e-03,3.430648e-01
1.051321875074790e-03,3.733242e-01
1.061087500074790e-03,3.980691e-01
1.070853125074790e-03,4.169257e-01
1.080618750074790e-03,4.296089e-01
1.085501562574789e-03,4.335716e-01
1.090384375074789e-03,4.359263e-01
1.095267187574789e-03,4.366639e-01
1.100150000074789e-03,4.357814e-01
1.109915625074789e-03,4.291748e-01
1.119681250074789e-03,4.162044e-01
1.129446875074789e-03,3.970637e-01
1.139212500074788e-03,3.720393e-01
1.148978125074788e-03,3.415059e-01
