TIME,AMPLITUDE
0.000000000000000e+00,0.000000e+00
8.000000093488779e-07,6.870141e-03
1.600000018697756e-06,1.369620e-02
3.200000037395512e-06,2.721249e-02
6.400000074791024e-06,5.375237e-02
1.128281257479102e-05,9.315480e-02
1.616562507479103e-05,1.311402e-01
2.104843757479103e-05,1.674840e-01
2.593125007479103e-05,2.020885e-01
3.081406257479102e-05,2.348610e-01
3.569687507479102e-05,2.657147e-01
4.057968757479102e-05,2.945688e-01
4.546250007479102e-05,3.213488e-01
5.034531257479102e-05,3.459871e-01
5.522812507479101e-05,3.684229e-01
6.011093757479101e-05,3.886026e-01
6.499375007479101e-05,4.064804e-01
6.987656257479101e-05,4.220179e-01
7.475937507479102e-05,4.351847e-01
7.964218757479102e-05,4.459583e-01
8.452500007479103e-05,4.543246e-01
8.940781257479103e-05,4.602774e-01
9.429062507479103e-05,4.638189e-01
9.917343757479104e-05,4.649596e-01
1.040562500747910e-04,4.637181e-01
1.089390625747910e-04,4.601215e-01
1.138218750747911e-04,4.542048e-01
1.187046875747911e-04,4.460112e-01
1.235875000747910e-04,4.355915e-01
1.284703125747911e-04,4.230047e-01
1.333531250747911e-04,4.083168e-01
1.382359375747911e-04,3.916015e-01
1.431187500747911e-04,3.729393e-01
1.480015625747911e-04,3.524175e-01
1.528843750747911e-04,3.301299e-01
1.577671875747911e-04,3.061764e-01
1.626500000747911e-04,2.806626e-01
1.675328125747911e-04,2.536994e-01
1.724156250747911e-04,2.254028e-01
1.772984375747911e-04,1.958933e-01
1.821812500747911e-04,1.652954e-01
1.870640625747911e-04,1.337375e-01
1.919468750747911e-04,1.013509e-01
1.968296875747911e-04,6.826983e-02
2.017125000747911e-04,3.463051e-02
2.065953125747911e-04,5.710452e-04
2.114781250747911e-04,-3.376932e-02
2.163609375747911e-04,-6.825066e-02
2.212437500747911e-04,-1.027328e-01
2.261265625747911e-04,-1.370761e-01
2.310093750747911e-04,-1.711415e-01
2.407750000747912e-04,-2.378904e-01
2.505406250747911e-04,-3.019047e-01
2.603062500747911e-04,-3.621551e-01
2.700718750747911e-04,-4.176737e-01
2.798375000747912e-04,-4.675674e-01
2.896031250747912e-04,-5.110317e-01
2.993687500747912e-04,-5.473627e-01
3.091343750747912e-04,-5.759667e-01
3.189000000747912e-04,-5.963697e-01
3.286656250747912e-04,-6.082237e-01
3.384312500747912e-04,-6.113124e-01
3.481968750747912e-04,-6.055537e-01
3.579625000747912e-04,-5.910011e-01
3.677281250747912e-04,-5.678424e-01
3.774937500747912e-04,-5.363973e-01
3.823765625747912e-04,-5.177020e-01
3.872593750747913e-04,-4.971119e-01
3.921421875747913e-04,-4.747016e-01
3.970250000747913e-04,-4.505522e-01
4.019078125747913e-04,-4.247521e-01
4.067906250747913e-04,-3.973954e-01
4.116734375747913e-04,-3.685825e-01
4.165562500747913e-04,-3.384193e-01
4.214390625747913e-04,-3.070168e-01
4.263218750747913e-04,-2.744910e-01
4.312046875747913e-04,-2.409618e-01
4.360875000747913e-04,-2.065533e-01
4.409703125747913e-04,-1.713930e-01
4.458531250747913e-04,-1.356110e-01
4.507359375747913e-04,-9.934018e-02
4.556187500747913e-04,-6.271504e-02
4.605015625747913e-04,-2.587165e-02
4.653843750747913e-04,1.105309e-02
4.702671875747913e-04,4.792187e-02
4.751500000747913e-04,8.459757e-02
4.800328125747913e-04,1.209437e-01
4.849156250747913e-04,1.568250e-01
4.897984375747913e-04,1.921078e-01
4.946812500747913e-04,2.266607e-01
4.995640625747914e-04,2.603551e-01
5.044468750747914e-04,2.930653e-01
5.093296875747914e-04,3.246695e-01
5.142125000747914e-04,3.550500e-01
5.190953125747914e-04,3.840935e-01
5.239781250747914e-04,4.116918e-01
5.288609375747914e-04,4.377421e-01
5.337437500747914e-04,4.621473e-01
5.386265625747914e-04,4.848166e-01
5.435093750747914e-04,5.056655e-01
5.483921875747914e-04,5.246165e-01
5.532750000747914e-04,5.415990e-01
5.581578125747914e-04,5.565501e-01
5.630406250747914e-04,5.694141e-01
5.679234375747914e-04,5.801435e-01
5.728062500747914e-04,5.886985e-01
5.776890625747914e-04,5.950477e-01
5.825718750747914e-04,5.991677e-01
5.874546875747914e-04,6.010438e-01
5.923375000747914e-04,6.006693e-01
6.021031250747914e-04,5.931854e-01
6.118687500747915e-04,5.768327e-01
6.216343750747915e-04,5.518611e-01
6.314000000747915e-04,5.186496e-01
6.411656250747915e-04,4.777009e-01
6.509312500747915e-04,4.296338e-01
6.606968750747915e-04,3.751736e-01
6.704625000747915e-04,3.151418e-01
6.802281250747915e-04,2.504433e-01
6.899937500747915e-04,1.820530e-01
6.948765625747915e-04,1.467936e-01
7.046421875747915e-04,7.481021e-02
7.144078125747915e-04,1.780156e-03
7.241734375747916e-04,-7.119709e-02
7.290562500747916e-04,-1.073221e-01
7.339390625747916e-04,-1.430230e-01
7.437046875747916e-04,-2.126166e-01
7.534703125747916e-04,-2.789304e-01
7.632359375747916e-04,-3.409666e-01
7.730015625747916e-04,-3.977920e-01
7.827671875747916e-04,-4.485514e-01
7.925328125747916e-04,-4.924814e-01
8.022984375747916e-04,-5.289211e-01
8.120640625747916e-04,-5.573227e-01
8.218296875747916e-04,-5.772592e-01
8.315953125747916e-04,-5.884308e-01
8.413609375747917e-04,-5.906700e-01
8.511265625747917e-04,-5.839433e-01
8.608921875747917e-04,-5.683525e-01
