FREQUENCY,MAGNITUDE,PHASE
3.01995172040201e+00,-1.85553075507200e-01,6.76058242322018e-01
3.09029543251359e+00,-1.85523979435879e-01,6.59592445846333e-01
3.16227766016837e+00,-1.85496195870368e-01,6.43476236424144e-01
3.23593656929628e+00,-1.85469665902651e-01,6.27701078210905e-01
3.31131121482591e+00,-1.85444333281574e-01,6.12258615579232e-01
3.38844156139202e+00,-1.85420144293760e-01,5.97140668729511e-01
3.46736850452531e+00,-1.85397047649812e-01,5.82339229391029e-01
3.54813389233575e+00,-1.85374994375701e-01,5.67846456611483e-01
3.63078054770101e+00,-1.85353937709027e-01,5.53654672632843e-01
3.71535229097172e+00,-1.85333832999960e-01,5.39756358851524e-01
3.80189396320560e+00,-1.85314637616652e-01,5.26144151860871e-01
3.89045144994280e+00,-1.85296310854912e-01,5.12810839574007e-01
3.98107170553496e+00,-1.85278813851984e-01,4.99749357425098e-01
4.07380277804112e+00,-1.85262109504187e-01,4.86952784647175e-01
4.16869383470335e+00,-1.85246162388313e-01,4.74414340624604e-01
4.26579518801592e+00,-1.85230938686551e-01,4.62127381318429e-01
4.36515832240165e+00,-1.85216406114830e-01,4.50085395762739e-01
4.46683592150962e+00,-1.85202533854408e-01,4.38282002630328e-01
4.57088189614874e+00,-1.85189292486549e-01,4.26710946865900e-01
4.67735141287197e+00,-1.85176653930184e-01,4.15366096385113e-01
4.78630092322637e+00,-1.85164591382389e-01,4.04241438837781e-01
4.89778819368445e+00,-1.85153079261583e-01,3.93331078433601e-01
5.01187233627271e+00,-1.85142093153293e-01,3.82629232828775e-01
5.12861383991364e+00,-1.85131609758418e-01,3.72130230071936e-01
5.24807460249771e+00,-1.85121606843840e-01,3.61828505607827e-01
5.37031796370252e+00,-1.85112063195275e-01,3.51718599337181e-01
5.49540873857623e+00,-1.85102958572332e-01,3.41795152731306e-01
5.62341325190348e+00,-1.85094273665592e-01,3.32052905999876e-01
5.75439937337156e+00,-1.85085990055665e-01,3.22486695310494e-01
5.88843655355588e+00,-1.85078090174150e-01,3.13091450058557e-01
6.02559586074356e+00,-1.85070557266389e-01,3.03862190186045e-01
6.16595001861481e+00,-1.85063375355947e-01,2.94794023547833e-01
6.30957344480192e+00,-1.85056529210730e-01,2.85882143324159e-01
6.45654229034654e+00,-1.85050004310700e-01,2.77121825477914e-01
6.60693448007594e+00,-1.85043786817095e-01,2.68508426255427e-01
6.76082975391980e+00,-1.85037863543063e-01,2.60037379729463e-01
6.91830970918935e+00,-1.85032221925726e-01,2.51704195383120e-01
7.07945784384136e+00,-1.85026849999533e-01,2.43504455733416e-01
7.24435960074988e+00,-1.85021736370887e-01,2.35433813993279e-01
7.41310241300916e+00,-1.85016870193992e-01,2.27487991770760e-01
7.58577575029182e+00,-1.85012241147850e-01,2.19662776804242e-01
7.76247116628690e+00,-1.85007839414375e-01,2.11954020732468e-01
7.94328234724279e+00,-1.85003655657577e-01,2.04357636898240e-01
8.12830516164097e+00,-1.84999681003770e-01,1.96869598184599e-01
8.31763771102669e+00,-1.84995907022731e-01,1.89485934882407e-01
8.51138038202374e+00,-1.84992325709865e-01,1.82202732588158e-01
8.70963589956078e+00,-1.84988929469191e-01,1.75016130130966e-01
8.91250938133743e+00,-1.84985711097252e-01,1.67922317527603e-01
9.12010839355907e+00,-1.84982663767842e-01,1.60917533964540e-01
9.33254300796988e+00,-1.84979781017514e-01,1.53998065805914e-01
9.54992586021433e+00,-1.84977056731896e-01,1.47160244626386e-01
9.77237220955808e+00,-1.84974485132701e-01,1.40400445267858e-01
9.99999999999997e+00,-1.84972060765494e-01,1.33715083919000e-01
1.02329299228075e+01,-1.84969778488101e-01,1.27100616216633e-01
1.04712854805090e+01,-1.84967633459736e-01,1.20553535367884e-01
1.07151930523760e+01,-1.84965621130698e-01,1.14070370292223e-01
1.09647819614318e+01,-1.84963737232755e-01,1.07647683782319e-01
