FREQUENCY,MAGNITUDE,PHASE
1.00000000000000e+00,3.97368850471989e-01,1.63655370529987e+01
1.02329299228075e+00,4.15150584707079e-01,1.67224098130911e+01
1.04712854805090e+00,4.33692282650962e-01,1.70859867013810e+01
1.07151930523761e+00,4.53022958701873e-01,1.74563235346139e+01
1.09647819614318e+00,4.73172435674249e-01,1.78334718315630e+01
1.12201845430196e+00,4.94171341373698e-01,1.82174784720451e+01
1.14815362149688e+00,5.16051102538816e-01,1.86083853452572e+01
1.17489755493953e+00,5.38843935865055e-01,1.90062289882660e+01
1.20226443461741e+00,5.62582835992298e-01,1.94110402152515e+01
1.23026877081238e+00,5.87301560166123e-01,1.98228437386168e+01
1.25892541179417e+00,6.13034609423391e-01,2.02416577829134e+01
1.28824955169313e+00,6.39817206068935e-01,2.06674936928759e+01
1.31825673855641e+00,6.67685267267800e-01,2.11003555368993e+01
1.34896288259165e+00,6.96675374536879e-01,2.15402397075679e+01
1.38038426460288e+00,7.26824738977690e-01,2.19871345208956e+01
1.41253754462275e+00,7.58171162075164e-01,2.24410198161793e+01
1.44543977074593e+00,7.90752991914175e-01,2.29018665585062e+01
1.47910838816821e+00,8.24609074668319e-01,2.33696364461672e+01
1.51356124843621e+00,8.59778701282711e-01,2.38442815252686e+01
1.54881661891248e+00,8.96301549222274e-01,2.43257438141979e+01
1.58489319246111e+00,9.34217619287407e-01,2.48139549404604e+01
1.62181009735893e+00,9.73567167417110e-01,2.53088357928640e+01
1.65958690743756e+00,1.01439063153980e+00,2.58102961918441e+01
1.69824365246174e+00,1.05672855349875e+00,2.63182345810328e+01
1.73780082874937e+00,1.10062149615645e+00,2.68325377431489e+01
1.77827941003892e+00,1.14610995582079e+00,2.73530805433545e+01
1.81970085860998e+00,1.19323427019405e+00,2.78797257032094e+01
1.86208713666287e+00,1.24203452203885e+00,2.84123236085380e+01
1.90546071796325e+00,1.29255043891618e+00,2.89507121541077e+01
1.94984459975804e+00,1.34482128928263e+00,2.94947166283450e+01
1.99526231496888e+00,1.39888577538465e+00,3.00441496408530e+01
2.04173794466953e+00,1.45478192335194e+00,3.05988110956527e+01
2.08929613085404e+00,1.51254697104913e+00,3.11584882124697e+01
2.13796208950223e+00,1.57221725418071e+00,3.17229555985647e+01
2.18776162394955e+00,1.63382809128149e+00,3.22919753729746e+01
2.23872113856834e+00,1.69741366822413e+00,3.28652973448567e+01
2.29086765276777e+00,1.76300692290028e+00,3.34426592473201e+01
2.34422881531992e+00,1.83063943084639e+00,3.40237870273675e+01
2.39883291901949e+00,1.90034129246866e+00,3.46083951927354e+01
2.45470891568503e+00,1.97214102270285e+00,3.51961872152519e+01
2.51188643150958e+00,2.04606544385359e+00,3.57868559902650e+01
2.57039578276886e+00,2.12213958235441e+00,3.63800843512252e+01
2.63026799189538e+00,2.20038657026865e+00,3.69755456375844e+01
2.69153480392691e+00,2.28082755226212e+00,3.75729043139749e+01
2.75422870333816e+00,2.36348159876275e+00,3.81718166380760e+01
2.81838293126445e+00,2.44836562603325e+00,3.87719313738302e+01
2.88403150312660e+00,2.53549432377614e+00,3.93728905464974e+01
2.95120922666638e+00,2.62488009089022e+00,3.99743302353038e+01
3.01995172040201e+00,2.71653297991739e+00,4.05758813991050e+01
3.09029543251359e+00,2.81046065062709e+00,4.11771707302310e+01
3.16227766016837e+00,2.90666833315943e+00,4.17778215310768e+01
3.23593656929628e+00,3.00515880100352e+00,4.23774546080797e+01
3.31131121482591e+00,3.10593235407630e+00,4.29756891770875e+01
3.38844156139202e+00,3.20898681199218e+00,4.35721437744721e+01
3.46736850452531e+00,3.31431751759190e+00,4.41664371678649e+01
3.54813389233575e+00,3.42191735067399e+00,4.47581892605769e+01
3.63078054770101e+00,3.53177675177211e+00,4.53470219838923e+01
3.71535229097172e+00,3.64388375576655e+00,4.59325601713494e+01
3.80189396320560e+00,3.75822403497831e+00,4.65144324096731e+01
3.89045144994280e+00,3.87478095137642e+00,4.70922718608801e+01
3.98107170553496e+00,3.99353561739135e+00,4.76657170508246e+01
4.07380277804112e+00,4.11446696480332e+00,4.82344126195355e+01
4.16869383470335e+00,4.23755182109636e+00,4.87980100292367e+01
4.26579518801592e+00,4.36276499261031e+00,4.93561682264622e+01
