time	V(out)
0.000000000000000e+00	3.174290e-28
2.500000029215244e-08	2.806869e-12
5.000000058430487e-08	-1.521028e-12
8.465301751651568e-08	-5.791205e-11
1.204676407418493e-07	-2.426726e-10
1.568501799206508e-07	-6.664820e-10
1.958241382935485e-07	-1.549244e-09
2.460770508871912e-07	-3.635439e-09
3.127950063114994e-07	-8.668246e-09
4.022646722258935e-07	-2.107000e-08
5.215543106762761e-07	-5.195651e-08
6.820082011200569e-07	-1.262280e-07
8.496902617462899e-07	-2.596286e-07
1.040077638650530e-06	-5.100228e-07
1.259616934438900e-06	-9.776297e-07
1.534902685269300e-06	-1.921360e-06
1.868764962376698e-06	-3.774770e-06
2.288015953411182e-06	-7.568397e-06
2.804775036008317e-06	-1.524894e-05
3.456215372072735e-06	-3.124952e-05
4.271782693621830e-06	-6.455676e-05
5.310084912939934e-06	-1.353917e-04
6.633139357989908e-06	-2.868098e-04
8.344644955214679e-06	-6.163371e-04
1.057542320426554e-05	-1.340166e-03
1.353497858518083e-05	-2.922612e-03
1.754081110982303e-05	-5.996868e-03
2.055876320136441e-05	-8.834223e-03
2.384211593538520e-05	-1.217781e-02
2.697158295604177e-05	-1.540544e-02
2.743198781946347e-05	-1.588205e-02
2.835279754630688e-05	-1.683704e-02
2.858299997801773e-05	-1.707592e-02
2.904340484143944e-05	-1.755393e-02
2.954012052837569e-05	-1.806974e-02
2.957742449113056e-05	-1.810848e-02
2.965203241664032e-05	-1.818597e-02
2.980124826765983e-05	-1.834090e-02
3.006040466508952e-05	-1.860989e-02
3.022603554807098e-05	-1.878171e-02
3.042640345214777e-05	-1.898944e-02
3.062739666648661e-05	-1.919766e-02
3.094429293173571e-05	-1.952566e-02
3.135942237820864e-05	-1.995480e-02
3.197781064694886e-05	-2.059288e-02
3.291281021576828e-05	-2.155495e-02
3.448903031206415e-05	-2.316871e-02
3.764147050465589e-05	-2.636586e-02
4.394635088983938e-05	-3.266731e-02
5.150198310278195e-05	-4.009867e-02
5.486855137696697e-05	-4.335647e-02
5.834070365079587e-05	-4.667129e-02
6.123319271728355e-05	-4.940509e-02
6.446634926543899e-05	-5.242717e-02
6.924760503179978e-05	-5.684290e-02
7.399526369643596e-05	-6.116174e-02
8.109193729976622e-05	-6.749577e-02
8.957569035168085e-05	-7.489856e-02
9.934131535168084e-05	-8.319947e-02
1.091069403516808e-04	-9.127145e-02
1.188725653516808e-04	-9.911532e-02
1.286381903516808e-04	-1.067397e-01
1.384038153516808e-04	-1.141529e-01
1.481694403516808e-04	-1.213627e-01
1.579350653516809e-04	-1.283764e-01
1.677006903516809e-04	-1.352012e-01
1.774663153516809e-04	-1.418438e-01
1.872319403516809e-04	-1.483106e-01
1.969975653516809e-04	-1.546077e-01
2.067631903516809e-04	-1.607410e-01
2.165288153516809e-04	-1.667159e-01
2.262944403516809e-04	-1.725379e-01
2.360600653516809e-04	-1.782119e-01
2.458256903516809e-04	-1.837427e-01
2.555913153516809e-04	-1.891351e-01
2.653569403516809e-04	-1.943933e-01
2.751225653516809e-04	-1.995217e-01
2.848881903516809e-04	-2.045242e-01
2.948064032423060e-04	-2.095095e-01
2.957219305860560e-04	-2.099605e-01
2.969426337110559e-04	-2.105601e-01
2.983216228911605e-04	-2.112356e-01
2.993621786104110e-04	-2.117439e-01
2.998662517945575e-04	-2.119894e-01
2.998818149145607e-04	-2.119970e-01
2.999129411545671e-04	-2.120120e-01
2.999751936345800e-04	-2.120422e-01
3.000320072751351e-04	-2.120697e-01
3.001080479020158e-04	-2.121065e-01
3.001873500726325e-04	-2.121448e-01
3.003459544138658e-04	-2.122215e-01
3.006631630963326e-04	-2.123744e-01
3.012975804612660e-04	-2.126792e-01
3.025664151911330e-04	-2.132837e-01
3.051040846508668e-04	-2.144706e-01
3.101794235703346e-04	-2.167509e-01
3.184757872270147e-04	-2.201821e-01
3.282414122270147e-04	-2.234838e-01
3.380070372270147e-04	-2.252388e-01
3.460852299833430e-04	-2.240988e-01
3.547538483643925e-04	-2.189822e-01
3.606524099443786e-04	-2.127777e-01
3.644339333889788e-04	-2.074741e-01
3.698924236385924e-04	-1.990475e-01
3.737014297096238e-04	-1.931081e-01
3.782397874813905e-04	-1.860739e-01
3.867544547162366e-04	-1.730235e-01
3.965200797162366e-04	-1.582279e-01
3.977407828412365e-04	-1.564001e-01
4.001821890912365e-04	-1.527726e-01
4.007925406537365e-04	-1.518685e-01
4.020132437787365e-04	-1.500655e-01
4.025216421613940e-04	-1.493160e-01
4.030023055220797e-04	-1.486088e-01
4.034505162684639e-04	-1.479505e-01
4.041008061252719e-04	-1.469971e-01
4.048706411804096e-04	-1.458713e-01
4.061182708704206e-04	-1.440540e-01
4.082909418327501e-04	-1.409109e-01
4.126362837574090e-04	-1.347070e-01
4.213269676067270e-04	-1.225436e-01
4.310925926067270e-04	-1.092234e-01
4.408582176067270e-04	-9.629557e-02
4.506238426067270e-04	-8.375514e-02
4.603894676067270e-04	-7.158638e-02
4.701550926067270e-04	-5.977429e-02
4.799207176067270e-04	-4.830468e-02
4.896863426067270e-04	-3.716406e-02
4.994519676067270e-04	-2.633961e-02
5.092175926067270e-04	-1.581918e-02
5.189832176067270e-04	-5.591215e-03
5.287488426067270e-04	4.355281e-03
5.385144676067270e-04	1.403075e-02
5.482800926067270e-04	2.344513e-02
5.580457176067270e-04	3.260786e-02
5.678113426067270e-04	4.152797e-02
5.775769676067271e-04	5.021401e-02
5.873425926067271e-04	5.867415e-02
5.971082176067271e-04	6.691618e-02
6.068738426067271e-04	7.494752e-02
6.166394676067271e-04	8.277524e-02
6.264050926067271e-04	9.040612e-02
6.361707176067271e-04	9.784658e-02
6.459363426067271e-04	1.051028e-01
6.557019676067271e-04	1.121807e-01
6.654675926067271e-04	1.190858e-01
6.752332176067271e-04	1.258236e-01
6.849988426067272e-04	1.323993e-01
6.947644676067272e-04	1.388176e-01
7.045300926067272e-04	1.450835e-01
7.142957176067272e-04	1.512013e-01
7.240613426067272e-04	1.571755e-01
7.338269676067272e-04	1.630101e-01
7.435925926067272e-04	1.687093e-01
7.533582176067272e-04	1.742768e-01
7.631238426067272e-04	1.797163e-01
7.728894676067272e-04	1.850313e-01
7.826550926067272e-04	1.902253e-01
7.924207176067272e-04	1.953016e-01
8.021863426067273e-04	2.002632e-01
8.119519676067273e-04	2.051132e-01
8.217175926067273e-04	2.098546e-01
8.314832176067273e-04	2.144901e-01
8.412488426067273e-04	2.190225e-01
8.510144676067273e-04	2.234544e-01
8.607800926067273e-04	2.277883e-01
8.705457176067273e-04	2.320266e-01
8.803113426067273e-04	2.361718e-01
8.900769676067273e-04	2.402260e-01
8.998425926067273e-04	2.441915e-01
9.096082176067274e-04	2.480705e-01
9.193738426067274e-04	2.518649e-01
9.291394676067274e-04	2.555768e-01
9.389050926067274e-04	2.592081e-01
9.486707176067274e-04	2.627606e-01
9.584363426067274e-04	2.662363e-01
9.682019676067274e-04	2.696428e-01
9.748882861641991e-04	2.719405e-01
9.751934619454492e-04	2.720440e-01
9.758038135079492e-04	2.722507e-01
9.770245166329493e-04	2.726633e-01
9.776631430612585e-04	2.728788e-01
9.780133695380788e-04	2.729966e-01
9.780243044878588e-04	2.730003e-01
9.780461743874190e-04	2.730076e-01
9.780899141865393e-04	2.730222e-01
9.781301412633715e-04	2.730356e-01
9.781829778430966e-04	2.730532e-01
9.782431428331264e-04	2.730733e-01
9.783634728131858e-04	2.731133e-01
9.786041327733048e-04	2.731933e-01
9.790854526935428e-04	2.733526e-01
9.800480925340187e-04	2.736680e-01
9.819733722149706e-04	2.742852e-01
9.858239315768743e-04	2.754458e-01
9.935250503006815e-04	2.773301e-01
1.003290675300681e-03	2.784661e-01
1.009687811742198e-03	2.771928e-01
1.016779233619475e-03	2.724158e-01
1.021041137967709e-03	2.673991e-01
1.023600259106983e-03	2.633845e-01
1.027534700020822e-03	2.566207e-01
1.030196222992548e-03	2.520004e-01
1.033266342631802e-03	2.466756e-01
1.034011643853606e-03	2.453854e-01
1.035502246297213e-03	2.428088e-01
1.035874896908115e-03	2.421653e-01
1.036620198129919e-03	2.408800e-01
1.038110800573527e-03	2.383118e-01
1.038123354927595e-03	2.382901e-01
1.038148463635732e-03	2.382469e-01
1.038198681052007e-03	2.381606e-01
1.038299115884555e-03	2.379878e-01
1.038461594829164e-03	2.377085e-01
1.038628252046152e-03	2.374222e-01
1.038822607742681e-03	2.370885e-01
1.039066721925595e-03	2.366696e-01
1.039339511316081e-03	2.362020e-01
1.039733836152044e-03	2.355268e-01
1.040295577092471e-03	2.345667e-01
1.041153898236170e-03	2.331036e-01
1.042523003184020e-03	2.307796e-01
1.044837016214818e-03	2.268813e-01
1.049465042276414e-03	2.191836e-01
1.056713345163536e-03	2.073143e-01
1.061534938934742e-03	1.995453e-01
1.064558046558064e-03	1.947464e-01
1.067766839487100e-03	1.897070e-01
1.069903920979681e-03	1.863812e-01
1.072847108621425e-03	1.818526e-01
1.078733483904912e-03	1.729149e-01
1.084463354488319e-03	1.643800e-01
1.094228979488319e-03	1.501850e-01
1.113760229488320e-03	1.229675e-01
1.133291479488320e-03	9.732583e-02
1.143057104488320e-03	8.505697e-02
1.152822729488320e-03	7.313693e-02
1.162588354488320e-03	6.155223e-02
1.172353979488320e-03	5.029007e-02
1.182119604488320e-03	3.933827e-02
1.191885229488320e-03	2.868526e-02
1.201650854488320e-03	1.832004e-02
1.211416479488320e-03	8.232137e-03
1.221182104488320e-03	-1.588417e-03
1.230947729488320e-03	-1.115111e-02
1.240713354488320e-03	-2.046499e-02
1.250478979488320e-03	-2.953865e-02
1.260244604488320e-03	-3.838033e-02
1.270010229488320e-03	-4.699785e-02
1.279775854488320e-03	-5.539868e-02
1.289541479488320e-03	-6.358995e-02
1.299440618892616e-03	-7.173533e-02
1.299898382564491e-03	-7.210462e-02
1.300508734126992e-03	-7.259616e-02
1.301729437251992e-03	-7.357734e-02
1.302606866571937e-03	-7.428113e-02
1.303150651672171e-03	-7.471641e-02
1.303439885334076e-03	-7.494744e-02
1.303708164459586e-03	-7.516129e-02
1.303818798365310e-03	-7.524937e-02
1.303897895347287e-03	-7.531230e-02
1.303985176815197e-03	-7.538173e-02
1.304066535056771e-03	-7.544641e-02
1.304229251539917e-03	-7.557572e-02
1.304405484870692e-03	-7.571565e-02
1.304754105507433e-03	-7.599203e-02
1.305451346780915e-03	-7.654316e-02
1.306845829327879e-03	-7.763860e-02
1.309634794421807e-03	-7.980058e-02
1.315212724609664e-03	-8.400442e-02
1.324978349609664e-03	-9.101578e-02
1.334743974609664e-03	-9.743829e-02
1.344509599609664e-03	-1.026749e-01
1.354275224609664e-03	-1.054740e-01
1.363354328071729e-03	-1.039279e-01
1.373119953071729e-03	-9.715521e-02
1.377668820649218e-03	-9.210992e-02
1.383876535316575e-03	-8.398678e-02
1.388034906425794e-03	-7.848550e-02
1.393047426519499e-03	-7.190618e-02
1.402813051519499e-03	-5.919686e-02
1.404033754644499e-03	-5.762272e-02
1.406475160894499e-03	-5.449589e-02
1.406483160440291e-03	-5.448567e-02
1.406499159531875e-03	-5.446525e-02
1.406531157715043e-03	-5.442441e-02
1.406595154081379e-03	-5.434275e-02
1.406723146814052e-03	-5.417950e-02
1.406979132279397e-03	-5.385326e-02
