time	V(out)
0.000000000000000e+00	2.161274e-28
2.500000029215244e-08	1.286515e-09
5.000000058430487e-08	-7.714943e-10
8.469165481584914e-08	-2.630036e-08
1.206006771820546e-07	-1.079738e-07
1.571488356982029e-07	-2.906282e-07
1.962019764539414e-07	-6.580738e-07
2.468750484422703e-07	-1.497214e-06
3.142192718888674e-07	-3.422440e-06
4.050813958890188e-07	-7.895675e-06
5.267563958686289e-07	-1.819554e-05
6.908849029385673e-07	-4.094892e-05
8.636818590475103e-07	-7.825335e-05
1.056015568529019e-06	-1.401786e-04
1.284320852053627e-06	-2.462276e-04
1.568093158556278e-06	-4.331173e-04
1.919150474553947e-06	-7.577449e-04
2.360335363095818e-06	-1.325311e-03
2.914422900424989e-06	-2.306680e-03
3.619927270662187e-06	-4.006483e-03
4.523241157894504e-06	-6.926959e-03
5.696786903036448e-06	-1.194128e-02
7.238260604022999e-06	-2.050041e-02
9.297913278470530e-06	-3.508925e-02
1.209557308673180e-05	-5.982903e-02
1.598070956918961e-05	-9.958629e-02
2.153730098606372e-05	-1.516830e-01
2.581751344686865e-05	-1.736773e-01
3.047445133194404e-05	-1.792752e-01
3.486129210790827e-05	-1.799392e-01
4.004784879893929e-05	-1.801049e-01
4.981347379893929e-05	-1.795137e-01
5.048063979599688e-05	-1.794120e-01
5.064743129526128e-05	-1.793750e-01
5.098101429379007e-05	-1.793046e-01
5.137222714026017e-05	-1.792111e-01
5.177881858586381e-05	-1.790869e-01
5.212413442051125e-05	-1.789538e-01
5.250349157192349e-05	-1.787855e-01
5.286061734915306e-05	-1.786166e-01
5.339953873223827e-05	-1.783549e-01
5.414603100060164e-05	-1.779900e-01
5.525363103472904e-05	-1.774512e-01
5.692723166014275e-05	-1.766487e-01
5.968658127102741e-05	-1.753597e-01
6.432606885137377e-05	-1.732952e-01
7.360504401206650e-05	-1.694529e-01
8.337066901206650e-05	-1.657723e-01
9.313629401206649e-05	-1.624872e-01
1.029019190120665e-04	-1.595749e-01
1.126675440120665e-04	-1.570069e-01
1.224331690120665e-04	-1.547509e-01
1.321987940120665e-04	-1.527806e-01
1.419644190120665e-04	-1.510831e-01
1.517300440120665e-04	-1.496436e-01
1.614956690120665e-04	-1.484429e-01
1.712612940120665e-04	-1.474624e-01
1.810269190120665e-04	-1.466839e-01
1.907925440120666e-04	-1.460894e-01
2.005581690120666e-04	-1.456580e-01
2.103237940120666e-04	-1.453603e-01
2.200894190120666e-04	-1.451389e-01
2.298550440120666e-04	-1.448943e-01
2.396206690120666e-04	-1.445132e-01
2.493862940120666e-04	-1.439097e-01
2.591519190120666e-04	-1.430143e-01
2.689175440120666e-04	-1.417298e-01
2.786831690120666e-04	-1.398886e-01
2.884487940120666e-04	-1.371776e-01
2.982144190120666e-04	-1.329365e-01
3.079800440120666e-04	-1.255087e-01
3.177456690120666e-04	-1.105396e-01
3.275112940120666e-04	-8.048624e-02
3.372769190120667e-04	-2.983001e-02
3.470425440120667e-04	3.891777e-02
3.568081690120667e-04	1.125541e-01
3.665737940120667e-04	1.659818e-01
3.756425507880726e-04	1.822641e-01
3.838089414538753e-04	1.793779e-01
3.924269450628268e-04	1.739662e-01
4.021925700628268e-04	1.678217e-01
4.119581950628268e-04	1.615565e-01
4.217238200628268e-04	1.554986e-01
4.314894450628268e-04	1.496892e-01
4.412550700628268e-04	1.442315e-01
4.510206950628268e-04	1.391308e-01
4.607863200628269e-04	1.344280e-01
4.705519450628269e-04	1.301210e-01
4.803175700628269e-04	1.262160e-01
4.900831950628269e-04	1.227019e-01
4.998488200628269e-04	1.195765e-01
5.096144450628269e-04	1.168243e-01
5.193800700628269e-04	1.144305e-01
5.291456950628269e-04	1.123753e-01
5.389113200628269e-04	1.106408e-01
5.486769450628269e-04	1.092062e-01
5.584425700628269e-04	1.080529e-01
5.682081950628270e-04	1.071611e-01
5.779738200628270e-04	1.065131e-01
5.877394450628270e-04	1.060906e-01
5.975050700628270e-04	1.058775e-01
6.072706950628270e-04	1.058574e-01
6.170363200628270e-04	1.060158e-01
6.268019450628270e-04	1.063383e-01
6.365675700628270e-04	1.068121e-01
6.463331950628270e-04	1.074244e-01
6.560988200628270e-04	1.081641e-01
6.658644450628270e-04	1.090198e-01
6.756300700628270e-04	1.099819e-01
6.853956950628271e-04	1.110404e-01
6.951613200628271e-04	1.121869e-01
7.049269450628271e-04	1.134128e-01
7.146925700628271e-04	1.147107e-01
7.244581950628271e-04	1.160730e-01
7.342238200628271e-04	1.174932e-01
7.439894450628271e-04	1.189650e-01
7.537550700628271e-04	1.204826e-01
7.635206950628271e-04	1.220404e-01
7.732863200628271e-04	1.236334e-01
7.830519450628271e-04	1.252568e-01
7.928175700628272e-04	1.269063e-01
8.025831950628272e-04	1.285776e-01
8.123488200628272e-04	1.302668e-01
8.221144450628272e-04	1.319702e-01
8.318800700628272e-04	1.336841e-01
8.416456950628272e-04	1.354050e-01
8.514113200628272e-04	1.371291e-01
8.611769450628272e-04	1.388523e-01
8.709425700628272e-04	1.405694e-01
8.807081950628272e-04	1.422739e-01
8.904738200628272e-04	1.439562e-01
9.002394450628272e-04	1.456014e-01
9.100050700628273e-04	1.471855e-01
9.197706950628273e-04	1.486688e-01
9.295363200628273e-04	1.499844e-01
9.393019450628273e-04	1.510193e-01
9.490675700628273e-04	1.515780e-01
9.588331950628273e-04	1.513174e-01
9.685988200628273e-04	1.495776e-01
9.783644450628273e-04	1.447127e-01
9.881300700628273e-04	1.311821e-01
9.978956950628273e-04	9.579888e-02
1.007661320062827e-03	2.473621e-02
1.016639908833491e-03	-7.211471e-02
1.023557130488423e-03	-1.510687e-01
1.027706673016869e-03	-1.785694e-01
1.033296070664832e-03	-1.848975e-01
1.037028979986495e-03	-1.831235e-01
1.042038534812329e-03	-1.800575e-01
1.051804159812329e-03	-1.735449e-01
1.053024862937329e-03	-1.727057e-01
1.055466269187329e-03	-1.709970e-01
1.060349081687328e-03	-1.675320e-01
1.060423563364152e-03	-1.674760e-01
1.060572526717798e-03	-1.673525e-01
1.060870453425090e-03	-1.670863e-01
1.061234180572239e-03	-1.667433e-01
1.061687036809062e-03	-1.663032e-01
1.062352595165064e-03	-1.656491e-01
1.062962825669187e-03	-1.650495e-01
1.064058042374726e-03	-1.639803e-01
1.065387979448129e-03	-1.626949e-01
1.066815096916142e-03	-1.613374e-01
1.069669331852170e-03	-1.586954e-01
1.075377801724224e-03	-1.536340e-01
1.083136348637327e-03	-1.471829e-01
1.092901973637327e-03	-1.397131e-01
1.102667598637327e-03	-1.329318e-01
1.122198848637327e-03	-1.213649e-01
1.141730098637327e-03	-1.121646e-01
1.151495723637327e-03	-1.083519e-01
1.161261348637327e-03	-1.050158e-01
1.171026973637327e-03	-1.021228e-01
1.180792598637327e-03	-9.964146e-02
1.190558223637327e-03	-9.754246e-02
1.200323848637327e-03	-9.579815e-02
1.210089473637327e-03	-9.438179e-02
1.219855098637327e-03	-9.322089e-02
1.224708971134265e-03	-9.271413e-02
1.224886214821778e-03	-9.269410e-02
1.225240702196804e-03	-9.264758e-02
1.225679482997235e-03	-9.258854e-02
1.226154396621088e-03	-9.252947e-02
1.226830370976717e-03	-9.245348e-02
1.227564839814767e-03	-9.237432e-02
1.229033777490866e-03	-9.221796e-02
1.231971652843065e-03	-9.190730e-02
1.237847403547463e-03	-9.128468e-02
