time	V(out)
0.000000000000000e+00	0.000000e+00
2.500000029215244e-08	1.659427e-05
1.000000011686097e-07	1.152280e-04
2.000000023372195e-07	2.798532e-04
4.000000046744390e-07	7.012213e-04
8.000000093488779e-07	1.898602e-03
1.600000018697756e-06	5.574677e-03
3.095128221643918e-06	1.608824e-02
5.269535492822353e-06	3.853590e-02
8.515980865374395e-06	8.458087e-02
1.294526861723796e-05	1.648217e-01
1.922261509955285e-05	3.004881e-01
2.786972282988860e-05	5.089393e-01
3.763534782988860e-05	7.575509e-01
4.740097282988860e-05	1.010274e+00
5.716659782988860e-05	1.261307e+00
6.693222282988860e-05	1.507653e+00
7.669784782988860e-05	1.747657e+00
8.646347282988859e-05	1.980156e+00
9.622909782988859e-05	2.204186e+00
1.059947228298886e-04	2.418874e+00
1.255259728298886e-04	2.817009e+00
1.450572228298886e-04	3.168580e+00
1.645884728298886e-04	3.468332e+00
1.841197228298886e-04	3.711792e+00
1.938853478298886e-04	3.811245e+00
2.036509728298887e-04	3.895337e+00
2.134165978298887e-04	3.963755e+00
2.231822228298887e-04	4.016248e+00
2.329478478298887e-04	4.052622e+00
2.427134728298887e-04	4.072745e+00
2.524790978298887e-04	4.076545e+00
2.622447228298887e-04	4.064011e+00
2.720103478298887e-04	4.035191e+00
2.817759728298887e-04	3.990197e+00
2.915415978298887e-04	3.929202e+00
3.013072228298887e-04	3.852438e+00
3.208384728298887e-04	3.652841e+00
3.403697228298888e-04	3.394445e+00
3.599009728298888e-04	3.081177e+00
3.794322228298888e-04	2.717782e+00
3.989634728298888e-04	2.309761e+00
4.184947228298888e-04	1.863282e+00
4.380259728298888e-04	1.385094e+00
4.575572228298889e-04	8.824205e-01
4.673228478298889e-04	6.242630e-01
4.770884728298889e-04	3.628537e-01
4.868540978298889e-04	9.918048e-02
5.063853478298888e-04	-4.309680e-01
5.259165978298889e-04	-9.581775e-01
5.454478478298889e-04	-1.474488e+00
5.649790978298889e-04	-1.972103e+00
5.845103478298889e-04	-2.443507e+00
6.040415978298889e-04	-2.881580e+00
6.235728478298889e-04	-3.279702e+00
6.431040978298890e-04	-3.631854e+00
6.626353478298890e-04	-3.932704e+00
6.724009728298890e-04	-4.062433e+00
6.821665978298890e-04	-4.177687e+00
6.919322228298890e-04	-4.278019e+00
7.016978478298890e-04	-4.363021e+00
7.114634728298890e-04	-4.432111e+00
7.212290978298890e-04	-4.488645e+00
7.214707043456377e-04	-4.489745e+00
7.219539173771349e-04	-4.491498e+00
7.229203434401293e-04	-4.494470e+00
7.241369890796169e-04	-4.496973e+00
7.255336179305936e-04	-4.498414e+00
7.267263405707977e-04	-4.498906e+00
7.284006333366705e-04	-4.499155e+00
7.304796686379131e-04	-4.499281e+00
7.339636950009960e-04	-4.499361e+00
7.398537525128902e-04	-4.499405e+00
7.496193775128902e-04	-4.499413e+00
7.593850025128902e-04	-4.499359e+00
7.691506275128902e-04	-4.498562e+00
7.750616403794264e-04	-4.492565e+00
7.784105262775450e-04	-4.481483e+00
7.815857311609135e-04	-4.464909e+00
7.845002279445669e-04	-4.447367e+00
7.886547356455314e-04	-4.419857e+00
7.927463486956637e-04	-4.389934e+00
7.988451066561639e-04	-4.339879e+00
8.069599205711311e-04	-4.264267e+00
8.167255455711312e-04	-4.160337e+00
8.264911705711312e-04	-4.042295e+00
8.362567955711312e-04	-3.909870e+00
8.460224205711312e-04	-3.763527e+00
8.557880455711312e-04	-3.603800e+00
8.655536705711312e-04	-3.431280e+00
8.753192955711312e-04	-3.246608e+00
8.850849205711312e-04	-3.050475e+00
8.948505455711312e-04	-2.843616e+00
9.046161705711312e-04	-2.626805e+00
9.143817955711312e-04	-2.400855e+00
9.241474205711313e-04	-2.166612e+00
9.339130455711313e-04	-1.924955e+00
9.436786705711313e-04	-1.676790e+00
9.534442955711313e-04	-1.423048e+00
9.632099205711313e-04	-1.164681e+00
9.729755455711313e-04	-9.026579e-01
9.827411705711313e-04	-6.379616e-01
9.925067955711313e-04	-3.715852e-01
1.002272420571131e-03	-1.045283e-01
1.012038045571131e-03	1.622071e-01
1.021803670571131e-03	4.276202e-01
1.031569295571131e-03	6.907152e-01
1.041334920571131e-03	9.505047e-01
1.051100545571131e-03	1.206014e+00
1.060866170571131e-03	1.456285e+00
1.070631795571131e-03	1.700378e+00
1.080397420571131e-03	1.937378e+00
1.090163045571131e-03	2.166395e+00
1.099928670571131e-03	2.386570e+00
1.109694295571131e-03	2.597079e+00
1.119459920571131e-03	2.797131e+00
1.129225545571131e-03	2.985976e+00
1.138991170571131e-03	3.162907e+00
1.148756795571131e-03	3.327261e+00
1.168288045571131e-03	3.615823e+00
1.187819295571131e-03	3.847347e+00
1.197584920571131e-03	3.940604e+00
1.207350545571132e-03	4.018377e+00
1.217116170571132e-03	4.080376e+00
1.226881795571132e-03	4.126372e+00
1.236647420571132e-03	4.156196e+00
1.246413045571132e-03	4.169738e+00
1.256178670571132e-03	4.166949e+00
1.265944295571132e-03	4.147839e+00
1.275709920571132e-03	4.112479e+00
1.285475545571132e-03	4.061003e+00
1.295241170571132e-03	3.993607e+00
1.305006795571132e-03	3.910547e+00
1.324538045571132e-03	3.698761e+00
1.344069295571132e-03	3.428862e+00
1.363600545571132e-03	3.104934e+00
1.383131795571132e-03	2.731875e+00
1.402663045571132e-03	2.315315e+00
1.422194295571132e-03	1.861543e+00
1.441725545571132e-03	1.377402e+00
1.461256795571132e-03	8.701957e-01
1.480788045571132e-03	3.475729e-01
1.490553670571132e-03	8.293718e-02
1.510084920571132e-03	-4.479941e-01
1.529616170571132e-03	-9.744654e-01
1.549147420571132e-03	-1.488538e+00
1.568678670571132e-03	-1.982461e+00
1.588209920571132e-03	-2.448785e+00
1.607741170571132e-03	-2.880476e+00
1.627272420571132e-03	-3.271022e+00
1.646803670571132e-03	-3.614528e+00
1.666334920571132e-03	-3.905806e+00
1.685866170571132e-03	-4.140449e+00
1.705397420571132e-03	-4.314892e+00
1.715163045571132e-03	-4.378664e+00
1.724928670571132e-03	-4.426441e+00
1.734694295571132e-03	-4.458054e+00
1.744459920571132e-03	-4.473513e+00
1.754225545571132e-03	-4.472902e+00
1.763991170571132e-03	-4.456073e+00
1.773756795571132e-03	-4.422817e+00
1.783522420571132e-03	-4.373242e+00
1.803053670571132e-03	-4.226336e+00
1.812819295571132e-03	-4.129633e+00
1.822584920571132e-03	-4.017899e+00
1.832350545571132e-03	-3.891550e+00
1.842116170571132e-03	-3.751055e+00
1.861647420571132e-03	-3.429780e+00
1.881178670571132e-03	-3.058881e+00
1.900709920571132e-03	-2.643914e+00
1.920241170571132e-03	-2.191101e+00
1.939772420571132e-03	-1.707236e+00
1.959303670571132e-03	-1.199579e+00
1.978834920571132e-03	-6.757500e-01
1.998366170571131e-03	-1.436106e-01
2.008131795571131e-03	1.230809e-01
2.027663045571130e-03	6.527023e-01
2.047194295571130e-03	1.170692e+00
2.066725545571130e-03	1.669276e+00
2.086256795571129e-03	2.140969e+00
2.105788045571129e-03	2.578693e+00
2.125319295571128e-03	2.975878e+00
2.144850545571128e-03	3.326565e+00
2.164381795571128e-03	3.625494e+00
2.174147420571127e-03	3.754117e+00
