Freq.	V(out)
2.04173794466953e+00	(-3.43761512478338e+01dB,-5.26997150786131e+00°)
2.08929613085404e+00	(-3.39777625379273e+01dB,-5.39208121065164e+00°)
2.13796208950223e+00	(-3.35794491269215e+01dB,-5.51698949054661e+00°)
2.18776162394955e+00	(-3.31812145024515e+01dB,-5.64475830269667e+00°)
2.23872113856834e+00	(-3.27830623107054e+01dB,-5.77545081880395e+00°)
2.29086765276777e+00	(-3.23849963633470e+01dB,-5.90913143980628e+00°)
2.34422881531992e+00	(-3.19870206447144e+01dB,-6.04586580780283e+00°)
2.39883291901949e+00	(-3.15891393193009e+01dB,-6.18572081713620e+00°)
2.45470891568503e+00	(-3.11913567395276e+01dB,-6.32876462453963e+00°)
2.51188643150958e+00	(-3.07936774538164e+01dB,-6.47506665825202e+00°)
2.57039578276886e+00	(-3.03961062149695e+01dB,-6.62469762599671e+00°)
2.63026799189538e+00	(-2.99986479888653e+01dB,-6.77772952171319e+00°)
2.69153480392691e+00	(-2.96013079634773e+01dB,-6.93423563092353e+00°)
2.75422870333816e+00	(-2.92040915582238e+01dB,-7.09429053460791e+00°)
2.81838293126445e+00	(-2.88070044336549e+01dB,-7.25797011145565e+00°)
2.88403150312660e+00	(-2.84100525014854e+01dB,-7.42535153834963e+00°)
2.95120922666638e+00	(-2.80132419349763e+01dB,-7.59651328893384e+00°)
3.01995172040201e+00	(-2.76165791796752e+01dB,-7.77153513010425e+00°)
3.09029543251359e+00	(-2.72200709645164e+01dB,-7.95049811625428e+00°)
3.16227766016837e+00	(-2.68237243132874e+01dB,-8.13348458109630e+00°)
3.23593656929628e+00	(-2.64275465564649e+01dB,-8.32057812687062e+00°)
3.31131121482591e+00	(-2.60315453434224e+01dB,-8.51186361074304e+00°)
3.38844156139202e+00	(-2.56357286550101e+01dB,-8.70742712818176e+00°)
3.46736850452531e+00	(-2.52401048165093e+01dB,-8.90735599309314e+00°)
3.54813389233575e+00	(-2.48446825109574e+01dB,-9.11173871448518e+00°)
3.63078054770101e+00	(-2.44494707928426e+01dB,-9.32066496941596e+00°)
3.71535229097172e+00	(-2.40544791021629e+01dB,-9.53422557197328e+00°)
3.80189396320560e+00	(-2.36597172788425e+01dB,-9.75251243801985e+00°)
3.89045144994280e+00	(-2.32651955774982e+01dB,-9.97561854542726e+00°)
3.98107170553496e+00	(-2.28709246825435e+01dB,-1.02036378895105e+01°)
4.07380277804112e+00	(-2.24769157236170e+01dB,-1.04366654333629e+01°)
4.16869383470335e+00	(-2.20831802913199e+01dB,-1.06747970527823e+01°)
4.26579518801592e+00	(-2.16897304532416e+01dB,-1.09181294754648e+01°)
4.36515832240165e+00	(-2.12965787702516e+01dB,-1.11667602141380e+01°)
4.46683592150962e+00	(-2.09037383130307e+01dB,-1.14207874932895e+01°)
4.57088189614874e+00	(-2.05112226788117e+01dB,-1.16803101691436e+01°)
4.67735141287197e+00	(-2.01190460082941e+01dB,-1.19454276425282e+01°)
4.78630092322637e+00	(-1.97272230026954e+01dB,-1.22162397642673e+01°)
4.89778819368445e+00	(-1.93357689408930e+01dB,-1.24928467327314e+01°)
5.01187233627271e+00	(-1.89446996966087e+01dB,-1.27753489831728e+01°)
5.12861383991364e+00	(-1.85540317555810e+01dB,-1.30638470684717e+01°)
5.24807460249771e+00	(-1.81637822326644e+01dB,-1.33584415309194e+01°)
5.37031796370252e+00	(-1.77739688887891e+01dB,-1.36592327646690e+01°)
5.49540873857623e+00	(-1.73846101477069e+01dB,-1.39663208684879e+01°)
5.62341325190348e+00	(-1.69957251124449e+01dB,-1.42798054884573e+01°)
5.75439937337156e+00	(-1.66073335813770e+01dB,-1.45997856502747e+01°)
5.88843655355588e+00	(-1.62194560638209e+01dB,-1.49263595808330e+01°)
6.02559586074356e+00	(-1.58321137950559e+01dB,-1.52596245187701e+01°)
6.16595001861481e+00	(-1.54453287506520e+01dB,-1.55996765137076e+01°)
6.30957344480192e+00	(-1.50591236599906e+01dB,-1.59466102139287e+01°)
6.45654229034654e+00	(-1.46735220188507e+01dB,-1.63005186422803e+01°)
6.60693448007594e+00	(-1.42885481009238e+01dB,-1.66614929601274e+01°)
6.76082975391980e+00	(-1.39042269681144e+01dB,-1.70296222192361e+01°)
6.91830970918935e+00	(-1.35205844794730e+01dB,-1.74049931015152e+01°)
7.07945784384136e+00	(-1.31376472986015e+01dB,-1.77876896466127e+01°)
7.24435960074988e+00	(-1.27554428993619e+01dB,-1.81777929674282e+01°)
7.41310241300916e+00	(-1.23739995697128e+01dB,-1.85753809536866e+01°)
7.58577575029182e+00	(-1.19933464134894e+01dB,-1.89805279637987e+01°)
7.76247116628690e+00	(-1.16135133499382e+01dB,-1.93933045053344e+01°)
7.94328234724279e+00	(-1.12345311108103e+01dB,-1.98137769045331e+01°)
8.12830516164097e+00	(-1.08564312348134e+01dB,-2.02420069653919e+01°)
8.31763771102669e+00	(-1.04792460592191e+01dB,-2.06780516189897e+01°)
8.51138038202374e+00	(-1.01030087084189e+01dB,-2.11219625638353e+01°)
8.70963589956078e+00	(-9.72775307922335e+00dB,-2.15737858981661e+01°)
8.91250938133743e+00	(-9.35351382269727e+00dB,-2.20335617452650e+01°)
9.12010839355907e+00	(-8.98032632233001e+00dB,-2.25013238730187e+01°)
9.33254300796988e+00	(-8.60822666834236e+00dB,-2.29770993090944e+01°)
9.54992586021433e+00	(-8.23725162794055e+00dB,-2.34609079532761e+01°)
9.77237220955808e+00	(-7.86743861133755e+00dB,-2.39527621886669e+01°)
9.99999999999997e+00	(-7.49882563337474e+00dB,-2.44526664936314e+01°)
1.02329299228075e+01	(-7.13145127059301e+00dB,-2.49606170565203e+01°)
1.04712854805090e+01	(-6.76535461362124e+00dB,-2.54766013953863e+01°)
1.07151930523760e+01	(-6.40057521477234e+00dB,-2.60005979850603e+01°)
1.09647819614318e+01	(-6.03715303076280e+00dB,-2.65325758941163e+01°)
1.12201845430196e+01	(-5.67512836050051e+00dB,-2.70724944343942e+01°)
1.14815362149688e+01	(-5.31454177791810e+00dB,-2.76203028258886e+01°)
1.17489755493953e+01	(-4.95543405986521e+00dB,-2.81759398799264e+01°)
1.20226443461741e+01	(-4.59784610911156e+00dB,-2.87393337036583e+01°)
1.23026877081238e+01	(-4.24181887255576e+00dB,-2.93104014289643e+01°)
1.25892541179416e+01	(-3.88739325477920e+00dB,-2.98890489689293e+01°)
1.28824955169313e+01	(-3.53461002713241e+00dB,-3.04751708050651e+01°)
1.31825673855640e+01	(-3.18350973259109e+00dB,-3.10686498084502e+01°)
1.34896288259165e+01	(-2.83413258667024e+00dB,-3.16693570979145e+01°)
1.38038426460288e+01	(-2.48651837473783e+00dB,-3.22771519383169e+01°)
1.41253754462275e+01	(-2.14070634612225e+00dB,-3.28918816818435e+01°)
1.44543977074592e+01	(-1.79673510546059e+00dB,-3.35133817550945e+01°)
1.47910838816820e+01	(-1.45464250178697e+00dB,-3.41414756945208e+01°)
1.51356124843620e+01	(-1.11446551590992e+00dB,-3.47759752325284e+01°)
1.54881661891248e+01	(-7.76240146675048e-01dB,-3.54166804362743e+01°)
1.58489319246111e+01	(-4.40001296753139e-01dB,-3.60633799008465e+01°)
1.62181009735892e+01	(-1.05782658632922e-01dB,-3.67158509981474e+01°)
1.65958690743755e+01	(2.26383398468638e-01dB,-3.73738601823876e+01°)
1.69824365246174e+01	(5.56465940037894e-01dB,-3.80371633526518e+01°)
1.73780082874937e+01	(8.84435575277099e-01dB,-3.87055062725238e+01°)
1.77827941003892e+01	(1.21026456292466e+00dB,-3.93786250462557e+01°)
1.81970085860998e+01	(1.53392691310535e+00dB,-4.00562466504502e+01°)
1.86208713666286e+01	(1.85539848443786e+00dB,-4.07380895196931e+01°)
1.90546071796324e+01	(2.17465707564115e+00dB,-4.14238641840416e+01°)
1.94984459975804e+01	(2.49168251090484e+00dB,-4.21132739557411e+01°)
1.99526231496887e+01	(2.80645671832216e+00dB,-4.28060156620298e+01°)
2.04173794466952e+01	(3.11896380072684e+00dB,-4.35017804203903e+01°)
2.08929613085403e+01	(3.42919009832718e+00dB,-4.42002544521412e+01°)
2.13796208950222e+01	(3.73712424259110e+00dB,-4.49011199298319e+01°)
2.18776162394954e+01	(4.04275720090421e+00dB,-4.56040558535182e+01°)
2.23872113856833e+01	(4.34608231159865e+00dB,-4.63087389506607e+01°)
2.29086765276776e+01	(4.64709530903162e+00dB,-4.70148445941155e+01°)
2.34422881531991e+01	(4.94579433847876e+00dB,-4.77220477324731e+01°)
2.39883291901948e+01	(5.24217996069774e+00dB,-4.84300238268547e+01°)
2.45470891568502e+01	(5.53625514610868e+00dB,-4.91384497882040e+01°)
2.51188643150957e+01	(5.82802525863167e+00dB,-4.98470049091035e+01°)
2.57039578276885e+01	(6.11749802931296e+00dB,-5.05553717842179e+01°)
2.63026799189537e+01	(6.40468351996197e+00dB,-5.12632372136014e+01°)
2.69153480392690e+01	(6.68959407710774e+00dB,-5.19702930833118e+01°)
2.75422870333815e+01	(6.97224427666526e+00dB,-5.26762372180460e+01°)
2.81838293126444e+01	(7.25265085977811e+00dB,-5.33807742008352e+01°)
2.88403150312659e+01	(7.53083266037325e+00dB,-5.40836161552234e+01°)
2.95120922666637e+01	(7.80681052502432e+00dB,-5.47844834857732e+01°)
3.01995172040200e+01	(8.08060722577336e+00dB,-5.54831055732116e+01°)
3.09029543251358e+01	(8.35224736660372e+00dB,-5.61792214210179e+01°)
3.16227766016837e+01	(8.62175728429151e+00dB,-5.68725802507753e+01°)
3.23593656929627e+01	(8.88916494438738e+00dB,-5.75629420441308e+01°)
3.31131121482590e+01	(9.15449983309543e+00dB,-5.82500780297458e+01°)
3.38844156139201e+01	(9.41779284582167e+00dB,-5.89337711141463e+01°)
3.46736850452530e+01	(9.67907617316108e+00dB,-5.96138162559018e+01°)
3.54813389233574e+01	(9.93838318508042e+00dB,-6.02900207830626e+01°)
3.63078054770100e+01	(1.01957483140340e+01dB,-6.09622046542624e+01°)
3.71535229097171e+01	(1.04512069377231e+01dB,-6.16302006643406e+01°)
3.80189396320559e+01	(1.07047952621754e+01dB,-6.22938545957526e+01°)
3.89045144994279e+01	(1.09565502057835e+01dB,-6.29530253174126e+01°)
3.98107170553495e+01	(1.12065092848968e+01dB,-6.36075848329463e+01°)
4.07380277804111e+01	(1.14547105015138e+01dB,-6.42574182806293e+01°)
4.16869383470333e+01	(1.17011922335741e+01dB,-6.49024238875311e+01°)
4.26579518801591e+01	(1.19459931282940e+01dB,-6.55425128805948e+01°)
4.36515832240164e+01	(1.21891519989396e+01dB,-6.61776093575444e+01°)
4.46683592150961e+01	(1.24307077253780e+01dB,-6.68076501206331e+01°)
4.57088189614873e+01	(1.26706991586906e+01dB,-6.74325844763295e+01°)
4.67735141287196e+01	(1.29091650300866e+01dB,-6.80523740040784e+01°)
4.78630092322636e+01	(1.31461438642996e+01dB,-6.86669922972871e+01°)
4.89778819368444e+01	(1.33816738976046e+01dB,-6.92764246796589e+01°)
5.01187233627270e+01	(1.36157930005474e+01dB,-6.98806678999482e+01°)
5.12861383991362e+01	(1.38485386054336e+01dB,-7.04797298081284e+01°)
5.24807460249770e+01	(1.40799476385874e+01dB,-7.10736290158684e+01°)
5.37031796370250e+01	(1.43100564573529e+01dB,-7.16623945440882e+01°)
5.49540873857622e+01	(1.45389007917770e+01dB,-7.22460654602321e+01°)
5.62341325190346e+01	(1.47665156908846e+01dB,-7.28246905077484e+01°)
5.75439937337154e+01	(1.49929354734311e+01dB,-7.33983277301049e+01°)
5.88843655355586e+01	(1.52181936829922e+01dB,-7.39670440915060e+01°)
6.02559586074355e+01	(1.54423230472354e+01dB,-7.45309150963048e+01°)
6.16595001861479e+01	(1.56653554411974e+01dB,-7.50900244089333e+01°)
6.30957344480190e+01	(1.58873218543809e+01dB,-7.56444634759993e+01°)
6.45654229034652e+01	(1.61082523614738e+01dB,-7.61943311520294e+01°)
6.60693448007593e+01	(1.63281760964838e+01dB,-7.67397333301673e+01°)
6.76082975391978e+01	(1.65471212300800e+01dB,-7.72807825789758e+01°)
6.91830970918933e+01	(1.67651149499250e+01dB,-7.78175977863303e+01°)
7.07945784384134e+01	(1.69821834437845e+01dB,-7.83503038112429e+01°)
